Frequence = 40 Ghz;
N = 6894;
1.
1   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00402676; Faza = 139.527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
2   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00353814; Faza = -42.5473 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
3   X = 6 mm; Y = 6.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
4   X = 6 mm; Y = 6.9 mm; Amplitude = 0.00432403; Faza = 141.475 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
5   X = 6 mm; Y = 6.9 mm; Amplitude = 0.00385456; Faza = -40.2944 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
6   X = 6 mm; Y = 6.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
7   X = 6 mm; Y = 7.5 mm; Amplitude = 0.00452053; Faza = 142.227 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
8   X = 6 mm; Y = 7.5 mm; Amplitude = 0.00410025; Faza = -39.1133 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
9   X = 6 mm; Y = 7.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
10   X = 6 mm; Y = 8.1 mm; Amplitude = 0.0046239; Faza = 142.028 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
11   X = 6 mm; Y = 8.1 mm; Amplitude = 0.0042736; Faza = -38.7227 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
12   X = 6 mm; Y = 8.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
13   X = 6 mm; Y = 8.7 mm; Amplitude = 0.0046485; Faza = 141.071 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
14   X = 6 mm; Y = 8.7 mm; Amplitude = 0.00437657; Faza = -38.9065 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
15   X = 6 mm; Y = 8.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
16   X = 6 mm; Y = 9.3 mm; Amplitude = 0.00461092; Faza = 139.553 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
17   X = 6 mm; Y = 9.3 mm; Amplitude = 0.00441262; Faza = -39.4736 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
18   X = 6 mm; Y = 9.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
19   X = 6 mm; Y = 9.9 mm; Amplitude = 0.00452547; Faza = 137.7 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
20   X = 6 mm; Y = 9.9 mm; Amplitude = 0.00438493; Faza = -40.2376 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
21   X = 6 mm; Y = 9.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
22   X = 6 mm; Y = 10.5 mm; Amplitude = 0.00440051; Faza = 135.777 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
23   X = 6 mm; Y = 10.5 mm; Amplitude = 0.00429502; Faza = -41.0054 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
24   X = 6 mm; Y = 10.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
25   X = 6 mm; Y = 11.1 mm; Amplitude = 0.00423652; Faza = 134.076 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
26   X = 6 mm; Y = 11.1 mm; Amplitude = 0.00414224; Faza = -41.5714 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
27   X = 6 mm; Y = 11.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
28   X = 6 mm; Y = 11.7 mm; Amplitude = 0.00402666; Faza = 132.901 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
29   X = 6 mm; Y = 11.7 mm; Amplitude = 0.00392408; Faza = -41.7092 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
30   X = 6 mm; Y = 11.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
31   X = 6 mm; Y = 12.3 mm; Amplitude = 0.0037597; Faza = 132.564 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
