Frequence = 10 Ghz;
N = 5784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000190142; Faza = -118.582 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
2   X = 20 mm; Y = 21 mm; Amplitude = 0.000125748; Faza = 19.1385 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
3   X = 20 mm; Y = 21 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
4   X = 20 mm; Y = 23 mm; Amplitude = 0.000175622; Faza = -102.042 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
5   X = 20 mm; Y = 23 mm; Amplitude = 0.000130143; Faza = 32.5369 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
6   X = 20 mm; Y = 23 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
7   X = 20 mm; Y = 25 mm; Amplitude = 0.000152679; Faza = -85.2125 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
8   X = 20 mm; Y = 25 mm; Amplitude = 0.000129785; Faza = 44.7974 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
9   X = 20 mm; Y = 25 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
10   X = 20 mm; Y = 27 mm; Amplitude = 0.000122511; Faza = -66.8531 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
11   X = 20 mm; Y = 27 mm; Amplitude = 0.000124195; Faza = 56.0537 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
12   X = 20 mm; Y = 27 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
13   X = 20 mm; Y = 29 mm; Amplitude = 8.78443e-005; Faza = -44.0529 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
14   X = 20 mm; Y = 29 mm; Amplitude = 0.000113345; Faza = 66.2687 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
15   X = 20 mm; Y = 29 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
16   X = 20 mm; Y = 31 mm; Amplitude = 0; Faza = -7.49303 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
17   X = 20 mm; Y = 31 mm; Amplitude = 0; Faza = 75.1434 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
18   X = 20 mm; Y = 31 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
19   X = 20 mm; Y = 33 mm; Amplitude = 0; Faza = 57.6216 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
20   X = 20 mm; Y = 33 mm; Amplitude = 0; Faza = 81.8115 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
21   X = 20 mm; Y = 33 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
22   X = 20 mm; Y = 35 mm; Amplitude = 0; Faza = 107.938 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
23   X = 20 mm; Y = 35 mm; Amplitude = 0; Faza = 83.7751 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
24   X = 20 mm; Y = 35 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
25   X = 20 mm; Y = 37 mm; Amplitude = 0; Faza = 135.44 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
26   X = 20 mm; Y = 37 mm; Amplitude = 0; Faza = 72.8576 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
27   X = 20 mm; Y = 37 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
28   X = 20 mm; Y = 39 mm; Amplitude = 0.000144322; Faza = 155.372 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
29   X = 20 mm; Y = 39 mm; Amplitude = 2.88954e-005; Faza = 35.3148 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
30   X = 20 mm; Y = 39 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
31   X = 20 mm; Y = 41 mm; Amplitude = 0.000175091; Faza = 172.551 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
32   X = 20 mm; Y = 41 mm; Amplitude = 4.28373e-005; Faza = 8.04177 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
33   X = 20 mm; Y = 41 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
34   X = 20 mm; Y = 43 mm; Amplitude = 0.000198966; Faza = -171.414 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
35   X = 20 mm; Y = 43 mm; Amplitude = 6.36087e-005; Faza = 3.68388 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
36   X = 20 mm; Y = 43 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
37   X = 20 mm; Y = 45 mm; Amplitude = 0.00021462; Faza = -155.811 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
38   X = 20 mm; Y = 45 mm; Amplitude = 8.34422e-005; Faza = 7.68755 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
39   X = 20 mm; Y = 45 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
40   X = 20 mm; Y = 47 mm; Amplitude = 0.000221292; Faza = -140.201 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
41   X = 20 mm; Y = 47 mm; Amplitude = 9.96501e-005; Faza = 14.9573 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
42   X = 20 mm; Y = 47 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
43   X = 20 mm; Y = 49 mm; Amplitude = 0.000218848; Faza = -124.197 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
44   X = 20 mm; Y = 49 mm; Amplitude = 0.000110852; Faza = 23.865 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
45   X = 20 mm; Y = 49 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
46   X = 20 mm; Y = 51 mm; Amplitude = 0.000207907; Faza = -107.342 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
47   X = 20 mm; Y = 51 mm; Amplitude = 0.000116274; Faza = 33.8309 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
48   X = 20 mm; Y = 51 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
49   X = 20 mm; Y = 53 mm; Amplitude = 0.000190017; Faza = -88.998 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
50   X = 20 mm; Y = 53 mm; Amplitude = 0.000115626; Faza = 44.6972 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
51   X = 20 mm; Y = 53 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
52   X = 20 mm; Y = 55 mm; Amplitude = 0.000167904; Faza = -68.2311 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
53   X = 20 mm; Y = 55 mm; Amplitude = 0.000109106; Faza = 56.5646 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
54   X = 20 mm; Y = 55 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
55   X = 20 mm; Y = 57 mm; Amplitude = 0.000145779; Faza = -43.8153 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
56   X = 20 mm; Y = 57 mm; Amplitude = 9.7424e-005; Faza = 69.8139 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
57   X = 20 mm; Y = 57 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
58   X = 20 mm; Y = 59 mm; Amplitude = 0.000129349; Faza = -14.8876 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
59   X = 20 mm; Y = 59 mm; Amplitude = 8.18659e-005; Faza = 85.2963 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
60   X = 20 mm; Y = 59 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
61   X = 20 mm; Y = 61 mm; Amplitude = 0; Faza = 17.1848 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
62   X = 20 mm; Y = 61 mm; Amplitude = 0; Faza = -255.17 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
63   X = 20 mm; Y = 61 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
64   X = 20 mm; Y = 63 mm; Amplitude = 0; Faza = 48.349 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
65   X = 20 mm; Y = 63 mm; Amplitude = 0; Faza = -227.982 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
66   X = 20 mm; Y = 63 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
67   X = 20 mm; Y = 65 mm; Amplitude = 0.000144604; Faza = 75.703 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
68   X = 20 mm; Y = 65 mm; Amplitude = 3.99117e-005; Faza = -189.788 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
69   X = 20 mm; Y = 65 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
70   X = 20 mm; Y = 67 mm; Amplitude = 0.000159418; Faza = 99.3769 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
71   X = 20 mm; Y = 67 mm; Amplitude = 4.20794e-005; Faza = -149.32 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
72   X = 20 mm; Y = 67 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
73   X = 20 mm; Y = 69 mm; Amplitude = 0.000170521; Faza = 120.753 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
